Customer_ID;Age;Education_Level;Monthly_Income;Num_Children;Num_Teenagers;Total_Purchases;Total_Spending;Last_Purchase_Amount;Recency_Days;Football_Spending;Running_Spending;Swimming_Spending;Kids_Sports_Spending;Preferred_Channel;Campaign_Exposure;Campaign_Response;Loyalty_Member;Customer_Tenure;Club_Status;Purchase_Comment
C0293;60;2;3807;0;1;19;1581,8;479,33 €;99;246;699;493;0;Web;0;0;1;1995;Amateur Club;I was looking for a natural energy shot that works, and I found it. Steaz energy shot is my favorite!<br /><br />I recently had gastric bypass surgery, so tons of sugar is a no-no. And I'm also allergic to Sucralose (Splenda) so most other energy drinks are out.<br /><br />I tried Bazi energy shots and they didn't work as well as Steaz, and definitely didn't taste as well. These have a taste that's almost like Coca-Cola--not bad at all.<br /><br />If you're looking for natural energy, give these a try.
C1045;51;3;7874;1;1;24;827,2;250,67 €;55;309;4;194;282;Web;1;1;1;1118;Professional Club;The running sneakers is comfortable and perfect for intense sessions, I am very happy with this purchase.
C1556;27;1;2782;0;0;10;147,4;44,67 €;175;82;27;25;0;App;1;1;0;520;Amateur Club;I bought this coffee because its much cheaper than the ganocafe and has the organic reishi mushroom as well as other healthy antioxidants.  I didn't expect it to taste good, but it actually does!  I've only had it for a few days and for $5 its totally worth it.  My sisters all take ganocafe but now I'm introducing them to this less expensive similar coffee.  I will follow up on this product in a few weeks.  :)
C0189;65;1;4641;0;3;5;971,3;294,33 €;7;289;439;155;0;App;1;1;0;520;Amateur Club;I bought this coffee because its much cheaper than the ganocafe and has the organic reishi mushroom as well as other healthy antioxidants.  I didn't expect it to taste good, but it actually does!  I've only had it for a few days and for $5 its totally worth it.  My sisters all take ganocafe but now I'm introducing them to this less expensive similar coffee.  I will follow up on this product in a few weeks.  :)
C1324;57;4;4911;0;0;5;1322,2;400,67 €;20;888;68;246;0;App;1;0;1;1748;None;I really like the Maple and Brown Sugar flavor. The regular is fine with brown sugar added. The Apples and Cinnamon flavor is OK. This is a very quick, easy and satisfying breakfast and I'll order this brand again, but not the variety. I'll get all Maple and Brown Sugar.
C1526;51;2;7218;0;2;10;1480,6;448,67 €;13;138;636;572;0;Web;1;0;0;1043;Amateur Club;"<span class=""tiny""> Length:: 0:26 Mins<br /><br /></span>The expiration date is 21 months from the day I bought this product. The tuna, tomato combination is delicious. This is one of the many items I re-order on Amazon every month or so.<br />edit: added a short video, so you see what this combination looks like.<br /><br />I was wearing one of those headlamps, but I didn't do a good job focusing on the tuna.<br />I should film it over, but it doesn't look like many people view this product anyway."
C0032;26;3;2738;0;0;23;1908,5;578,33 €;37;977;95;663;0;App;;;;1492;Amateur Club;This offer is a great price and a great taste, thanks Amazon for selling this product.<br /><br />Staral
C0376;31;4;3954;1;0;22;1245,2;377,33 €;113;127;531;410;64;App;0;0;0;1507;None;I have used this oil for several years and it is the best for eating with bread or cooking,  I love the regular, I use it on everything. You won't be sorry you tired it, great for dipping bread and cooking omelet, and green beans.
C1505;46;4;4963;2;1;20;844,8;256,00 €;14;373;109;199;87;Web;0;0;0;407;Professional Club;Delicious. I cannot get Australian ginger where I live. This compares favorably to Australian Ginger I've purchased in other cities. Now I can enjoy it without traveling.
C0574;59;3;7488;3;0;1;459,8;139,33 €;101;37;24;153;204;Store;1;0;1;1281;Amateur Club;The football shoes is excellent and well designed and lightweight, I am very happy with this purchase.
C1039;24;2;3243;0;1;23;557,7;169,00 €;114;297;157;160;0;Web;1;0;0;1499;Amateur Club;The running leggings is perfect and ideal for competitive matches, I am very happy with this purchase.
C0621;23;3;2363;0;1;11;279,4;84,67 €;135;134;113;7;0;Web;1;0;1;1419;None;The football shoes is top-notch and very comfortable during training, I am very happy with this purchase.
C0936;45;4;3375;0;0;24;364,1;110,33 €;152;31;83;453;666;Store;1;0;1;1383;Professional Club;This energy drink was disgustingly greasy. It was far below what was advertised. The flavor was overpowering in the worst way. I cannot recommend this to anyone.
C1588;51;2;7218;0;2;10;1480,6;448,67 €;13;138;636;572;0;App;0;0;0;985;None;"I drink this tea plain (without sugar or milk), and it has a pleasant aroma.<br /><br />The price from Amazon is cheaper than my local grocery store.  One reviewer is right, I think it has some herbal smell to make up the aroma.  So the label ""Imperial Blend"" kind of implied the herb.<br /><br />I am not exactly a black tea drinker, so this tea is a surprise, and affordable too.  I usually prefer White Chinese tea, like White Peony, but it is more expensive, and requires lower temperature water.  But this is black tea, and this aroma kind of remind me the 'softness' of white tea."
C0406;54;3;6901;3;0;7;605;183,33 €;40;177;142;105;126;Web;1;1;0;354;None;This is a wonderful warm flavored tea, especially now in colder weather.<br />This tea has a sweet,soothing chamomile fragrance. It is subtle and sweet.It's one of the better chamomile teas.<br />If you find it hard to sleep at times, a cup of this sweet chamomile tea may help.<br />If you really like sweet taste try Bigelow Chamomile Mango Herbal Tea.<br />I highly recommend both.
C0190;46;3;3913;1;2;5;1724,8;522,67 €;136;474;125;394;575;App;1;0;1;1751;None;"The coffee is very finely processed and the flavor is just alright.  Nescafe and Mount Hagen are better - I bought this to try something other than these two, but I probably won't get this again.  There is just a slight ""vitaminy"" taste, but it's not overwhelming.  It's also a bit pricey for what you get."
C0218;64;5;3715;3;0;5;1244,1;377,00 €;84;241;281;240;369;Web;1;0;0;460;Professional Club;My husband and I are both kind of wimpy when it comes to hot things and this seasoning is just a bit too spicy for us. It definitely makes you sweat a bit when you're eating it. It was still edible to us by adding a good sized dollop of sour cream but I don't think I would buy it again due to the heat. We prefer the milder McCormick's brand of Fajita mix. I've also had fajitas in a couple of different restaurants and it wasn't as spicy as this mix is.<br /><br />If you like super spicy then this is not burning hot so you might want to keep that in mind. To me it was more than medium hot but not by too much.<br /><br />I gave it three stars because it was pretty easy to make and it's versatile in that you could vary the veggies you put in it. You take a plastic bag, a couple of tbs of vegetable oil, 1/4 cup water and mix the seasoning, water and oil together then add the chicken strips to the bag and let it marinate for 5 minutes. In the meantime, it says to stir fry your veggies (peppers and onion) but I found it easier to just cook the chicken and veggies together and I don't think it affected quality or taste. I also used extra virgin olive oil rather than vegetable oil.<br /><br />I have one more package of this to use and next time I'm going to add more veggies and maybe some chopped tomato to cut the heat a bit more.
C1157;59;3;5809;2;0;5;495;150,00 €;35;121;236;236;0;App;1;1;1;1272;None;This tennis racket was utterly frustrating. It was poorly packaged and damaged. Even discount brands perform better. This product should not be sold at this price.
C1637;26;3;3223;1;0;16;2183,5;661,67 €;123;587;595;433;370;Store;0;0;0;237;None;This is a delicious sugar. It has a pretty light brown color and delicious aroma. But the granules are quite big, however -- bigger than plain refined sugar. This makes is difficult to cream butter and sugar together. But if you use it in a recipe where you will melt the sugar first before baking it, or if you use it to brew beer and plan to boil it to melt it, it is a great product. It would be the perfect sugar if only the granules were a bit finer.
C1200;62;5;7660;0;0;19;1141,8;346,00 €;43;543;127;368;0;App;1;0;0;899;None;This protein bars was shockingly bad. It left a greasy residue on my hands. There was no freshness whatsoever. It completely ruined my expectations.
C0731;48;4;5478;1;0;15;1571,9;476,33 €;3;359;485;371;214;App;0;0;1;1586;Amateur Club;The running leggings is remarkable and ideal for competitive matches, I am very happy with this purchase.
C1074;34;5;3493;1;0;19;1414,6;428,67 €;18;620;175;19;0;Store;1;0;0;659;None;The training shorts is high-quality and very comfortable during training, I am very happy with this purchase.
C0974;58;3;7914;2;0;20;1629,1;493,67 €;163;451;277;100;0;Web;1;0;0;964;Amateur Club;This tennis racket was utterly frustrating. It was poorly packaged and damaged. Even discount brands perform better. This product should not be sold at this price.
C0392;43;3;3537;0;0;2;1056;320,00 €;142;435;67;458;0;Store;0;0;1;1409;None;Got this free with another order I placed.  I couldn't believe how much the cats loved it. I will buy again for sure.
C0562;41;3;5265;1;0;8;1315,6;398,67 €;70;568;61;326;241;App;1;0;0;458;None;The sports jacket is fantastic and improved my performance immediately, I am very happy with this purchase.
C1204;36;4;4414;0;1;22;562,1;170,33 €;135;288;140;83;0;Store;0;0;1;1473;Amateur Club;This running sneakers was seriously defective. It was clearly close to expiration. The ingredients seem cheaper than before. I expected much better from this brand.
C0292;38;5;3586;0;2;2;195,8;59,33 €;38;5;146;27;0;Web;1;1;1;392;None;If you want an organic energy shot, your choices are this one from Steaz and the assorted flavors from Guayaki. Guayaki Yerba Mate is actually in the Steaz energy shot and energy drinks, and they both use Sambazon Acai, so there are some similarities in ingredients.<br /><br />Great energy burst for 4+ hours on a Steaz Energy Shot, and no withdrawals or headaches afterwards. Plan on drinking one every day at lunch at work. This will help me cut down on my iced coffees, which are not helping my calorie intake.<br /><br />Already ordering 12-packs on subscribe and save, 2 per month. Great value.
C0932;21;3;2284;0;1;14;270,6;82,00 €;172;122;105;232;264;Store;1;0;0;1387;Amateur Club;This sports jacket was deeply disappointing. It felt soggy instead of crispy. I have had far better from competing brands. I feel misled by the description.
C1511;30;2;3637;0;0;15;1757,8;532,67 €;47;570;714;314;0;Store;0;0;1;882;None;If you are looking for a less messy version of licorice for the children, then be sure to try these!  They're soft, easy to chew, and they don't get your hands all sticky and gross in the car, in the summer, at the beach, etc. We love all the flavos and sometimes mix these in with the chocolate to have a very nice snack! Great item, great price too, highly recommend!
C1357;43;3;3537;0;0;2;1056;320,00 €;142;435;67;458;0;Web;0;0;0;258;Amateur Club;For those of us with celiac disease this product is a lifesaver and what could be better than getting it at almost half the price of the grocery or health food store!  I love McCann's instant oatmeal - all flavors!!!<br /><br />Thanks,<br />Abby
C1347;43;4;3547;0;0;23;419,1;127,00 €;122;184;68;129;0;Web;1;0;1;1312;Amateur Club;The candy is just red , No flavor . Just  plan and chewy .  I would never buy them again
C0505;33;4;4027;0;1;9;937,2;284,00 €;167;443;331;78;0;App;1;0;1;495;Amateur Club;Decathlon riding boots: true to size, comfort is okay, stable sole.
C0476;49;4;3879;2;0;4;499,4;151,33 €;63;177;76;187;14;Web;0;0;1;313;None;Decathlon table tennis paddle: comfortable grip, medium speed, beginner-friendly.
C1486;26;4;3143;1;0;9;1104,4;334,67 €;132;196;254;219;335;Store;1;0;0;1927;Amateur Club;I had heard a little about this product from the local pet store, then tried a small bag for our 2 cats of about 3 and 6 years respectively. The female, younger one took to it right away, and the older male, who was unfortunately weaned on the junk cat food with all the corn meal and etc... in it, and would usually refuse a diet change, actually liked it too. The older male is overweight and we were trying to switch him to soft food on the doctor's request, but he totally refused it. He is a posh cat after all. He still consumes too many calories, the fatty, but at least I know he's eating good food. Of course, I know this product seems to cost more than most other feline food on the market, but I just can't see feeding our animals the lousy alternatives that are out there, marketed as being healthy. Why do commercials show cats eating a vegetarian diet which is mostly corn meal? Is that right? I'll stay with this for now, but stay tuned.<br /><br />I'm updating this review after 9 months of using this cat food for our two cats. I upgraded the stars from 4 to 5 as it really has been a good food for the two of them. Garfield still eats a little too much, but he's just a big cat who doesn't exercise much, let's face it. Our female cat will be 4 years old in a couple months and she's so healthy. She's tiny, but happy and agile. I tried the chicken version of Holistic Select, but Garfield seemd to miss this sardine version so we went back to this one. I've ordered the duck version and will update this once they try it.
